Date, YTD, MTD, Day
01/04/2021, -0.06%, -0.06%, -0.06%
01/05/2021, -0.17%, -0.17%, -0.12%
01/06/2021, -0.63%, -0.63%, -0.45%
01/07/2021, -0.8%, -0.8%, -0.18%
01/08/2021, -0.85%, -0.85%, -0.05%
01/11/2021, -1.05%, -1.05%, -0.2%
01/12/2021, -1.03%, -1.03%, 0.02%
01/13/2021, -0.7%, -0.7%, 0.34%
01/14/2021, -0.86%, -0.86%, -0.16%
01/15/2021, -0.74%, -0.74%, 0.12%
01/19/2021, -0.61%, -0.61%, 0.13%
01/20/2021, -0.55%, -0.55%, 0.06%
01/21/2021, -0.72%, -0.72%, -0.17%
01/22/2021, -0.73%, -0.73%, -0.01%
01/25/2021, -0.47%, -0.47%, 0.26%
01/26/2021, -0.49%, -0.49%, -0.02%
01/27/2021, -0.62%, -0.62%, -0.12%
01/28/2021, -0.65%, -0.65%, -0.04%
01/29/2021, -0.91%, -0.91%, -0.26%
02/01/2021, -0.74%, 0.17%, 0.17%
02/02/2021, -0.84%, 0.07%, -0.1%
02/03/2021, -0.99%, -0.08%, -0.16%
02/04/2021, -0.94%, -0.03%, 0.05%
02/05/2021, -1.08%, -0.17%, -0.14%
02/08/2021, -1.03%, -0.12%, 0.05%
02/09/2021, -0.94%, -0.03%, 0.09%
02/10/2021, -0.78%, 0.13%, 0.16%
02/11/2021, -0.84%, 0.07%, -0.07%
02/12/2021, -1.15%, -0.24%, -0.31%
02/16/2021, -1.55%, -0.65%, -0.41%
02/17/2021, -1.4%, -0.5%, 0.16%
02/18/2021, -1.44%, -0.53%, -0.03%
02/19/2021, -1.75%, -0.85%, -0.32%
02/22/2021, -2.05%, -1.14%, -0.3%
02/23/2021, -2.13%, -1.23%, -0.08%
02/24/2021, -2.24%, -1.34%, -0.12%
02/25/2021, -3.02%, -2.13%, -0.79%
02/26/2021, -2.32%, -1.42%, 0.73%
03/01/2021, -2.36%, -0.05%, -0.05%
03/02/2021, -2.32%, -0.01%, 0.04%
03/03/2021, -2.63%, -0.32%, -0.31%
03/04/2021, -3.04%, -0.73%, -0.42%
03/05/2021, -3.03%, -0.74%, -0%
03/08/2021, -3.39%, -1.11%, -0.37%
03/09/2021, -3.07%, -0.77%, 0.33%
03/10/2021, -2.95%, -0.66%, 0.12%
03/11/2021, -2.88%, -0.59%, 0.07%
03/12/2021, -3.37%, -1.09%, -0.5%
03/15/2021, -3.26%, -0.98%, 0.11%
03/16/2021, -3.35%, -1.07%, -0.1%
03/17/2021, -3.42%, -1.14%, -0.07%
03/18/2021, -3.83%, -1.56%, -0.42%
03/19/2021, -3.74%, -1.47%, 0.09%
03/22/2021, -3.47%, -1.19%, 0.28%
03/23/2021, -3.29%, -1%, 0.2%
03/24/2021, -3.27%, -0.98%, 0.03%
03/25/2021, -3.32%, -1.03%, -0.05%
03/26/2021, -3.4%, -1.11%, -0.09%
03/29/2021, -3.58%, -1.3%, -0.19%
03/30/2021, -3.58%, -1.31%, -0%
03/31/2021, -3.64%, -1.37%, -0.07%
04/01/2021, -3.17%, 0.49%, 0.49%
04/05/2021, -3.27%, 0.38%, -0.11%
04/06/2021, -3.03%, 0.63%, 0.25%
04/07/2021, -3.11%, 0.54%, -0.09%
04/08/2021, -2.92%, 0.74%, 0.2%
04/09/2021, -2.97%, 0.68%, -0.06%
04/12/2021, -3.06%, 0.59%, -0.09%
04/13/2021, -2.79%, 0.87%, 0.27%
04/14/2021, -2.89%, 0.77%, -0.1%
04/15/2021, -2.42%, 1.25%, 0.47%
04/16/2021, -2.65%, 1.01%, -0.24%
04/19/2021, -2.68%, 0.98%, -0.03%
04/20/2021, -2.65%, 1.02%, 0.04%
04/21/2021, -2.51%, 1.16%, 0.14%
04/22/2021, -2.47%, 1.21%, 0.05%
04/23/2021, -2.48%, 1.18%, -0.02%
04/26/2021, -2.47%, 1.2%, 0.02%
04/27/2021, -2.71%, 0.94%, -0.26%
04/28/2021, -2.71%, 0.94%, 0%
04/29/2021, -2.69%, 0.96%, 0.02%
04/30/2021, -2.66%, 1%, 0.04%
05/03/2021, -2.65%, 0.01%, 0.01%
05/04/2021, -2.61%, 0.05%, 0.04%
05/05/2021, -2.52%, 0.15%, 0.09%
05/06/2021, -2.41%, 0.26%, 0.12%
05/07/2021, -2.36%, 0.31%, 0.04%
05/10/2021, -2.66%, -0%, -0.31%
05/11/2021, -2.87%, -0.21%, -0.21%
05/12/2021, -3.32%, -0.66%, -0.45%
05/13/2021, -3.19%, -0.53%, 0.13%
05/14/2021, -2.85%, -0.19%, 0.34%
05/17/2021, -2.94%, -0.29%, -0.1%
05/18/2021, -2.97%, -0.31%, -0.02%
05/19/2021, -3.16%, -0.5%, -0.19%
05/20/2021, -2.85%, -0.19%, 0.31%
05/21/2021, -2.85%, -0.19%, -0%
05/24/2021, -2.64%, 0.02%, 0.21%
05/25/2021, -2.41%, 0.26%, 0.24%
05/26/2021, -2.47%, 0.2%, -0.07%
05/27/2021, -2.62%, 0.04%, -0.16%
05/28/2021, -2.53%, 0.13%, 0.09%
06/01/2021, -2.6%, -0.07%, -0.07%
06/02/2021, -2.51%, 0.02%, 0.09%
06/03/2021, -2.7%, -0.17%, -0.19%
06/04/2021, -2.32%, 0.21%, 0.38%
06/07/2021, -2.4%, 0.13%, -0.08%
06/08/2021, -2.23%, 0.3%, 0.17%
06/09/2021, -2%, 0.54%, 0.24%
06/10/2021, -1.81%, 0.73%, 0.19%
06/11/2021, -1.88%, 0.66%, -0.07%
06/14/2021, -2.03%, 0.5%, -0.16%
06/15/2021, -2.13%, 0.4%, -0.1%
06/16/2021, -2.4%, 0.12%, -0.28%
06/17/2021, -2.09%, 0.45%, 0.33%
06/18/2021, -1.84%, 0.71%, 0.26%
06/21/2021, -2.1%, 0.44%, -0.27%
06/22/2021, -1.99%, 0.55%, 0.11%
06/23/2021, -2.09%, 0.45%, -0.1%
06/24/2021, -2.05%, 0.48%, 0.04%
06/25/2021, -2.19%, 0.33%, -0.15%
06/28/2021, -1.94%, 0.59%, 0.26%
06/29/2021, -1.86%, 0.67%, 0.08%
06/30/2021, -1.87%, 0.67%, -0%
07/01/2021, -1.85%, 0.02%, 0.02%
07/02/2021, -1.65%, 0.21%, 0.19%
07/06/2021, -1.35%, 0.53%, 0.32%
