Date, YTD, MTD, Day
01/02/2013, -0.13%, -0.13%, -0.13%
01/03/2013, -0.31%, -0.31%, -0.18%
01/04/2013, -0.29%, -0.29%, 0.03%
01/07/2013, -0.22%, -0.22%, 0.07%
01/08/2013, -0.15%, -0.15%, 0.07%
01/09/2013, -0.21%, -0.21%, -0.07%
01/10/2013, -0.26%, -0.26%, -0.05%
01/11/2013, -0.09%, -0.09%, 0.17%
01/14/2013, -0.09%, -0.09%, -0%
01/15/2013, -0.09%, -0.09%, 0.01%
01/16/2013, -0%, -0%, 0.08%
01/17/2013, -0.23%, -0.23%, -0.23%
01/18/2013, -0.13%, -0.13%, 0.1%
01/22/2013, -0.02%, -0.02%, 0.11%
01/23/2013, -0.01%, -0.01%, 0%
01/24/2013, -0.1%, -0.1%, -0.08%
01/25/2013, -0.41%, -0.41%, -0.31%
01/28/2013, -0.5%, -0.5%, -0.1%
01/29/2013, -0.56%, -0.56%, -0.06%
01/30/2013, -0.59%, -0.59%, -0.02%
01/31/2013, -0.59%, -0.59%, -0.01%
02/01/2013, -0.63%, -0.04%, -0.04%
02/04/2013, -0.52%, 0.08%, 0.11%
02/05/2013, -0.55%, 0.04%, -0.04%
02/06/2013, -0.46%, 0.13%, 0.09%
02/07/2013, -0.47%, 0.12%, -0.01%
02/08/2013, -0.44%, 0.15%, 0.03%
02/11/2013, -0.45%, 0.14%, -0%
02/12/2013, -0.52%, 0.07%, -0.08%
02/13/2013, -0.68%, -0.1%, -0.17%
02/14/2013, -0.51%, 0.08%, 0.18%
02/15/2013, -0.52%, 0.07%, -0.01%
02/19/2013, -0.56%, 0.02%, -0.05%
02/20/2013, -0.63%, -0.04%, -0.07%
02/21/2013, -0.59%, 0.01%, 0.05%
02/22/2013, -0.54%, 0.05%, 0.05%
02/25/2013, -0.2%, 0.39%, 0.34%
02/26/2013, -0.26%, 0.34%, -0.06%
02/27/2013, -0.28%, 0.31%, -0.02%
02/28/2013, -0.2%, 0.4%, 0.08%
03/01/2013, -0.1%, 0.1%, 0.1%
03/04/2013, -0.16%, 0.03%, -0.07%
03/05/2013, -0.11%, 0.08%, 0.05%
03/06/2013, -0.27%, -0.09%, -0.16%
03/07/2013, -0.52%, -0.33%, -0.25%
03/08/2013, -0.75%, -0.56%, -0.23%
03/11/2013, -0.65%, -0.46%, 0.1%
03/12/2013, -0.57%, -0.39%, 0.07%
03/13/2013, -0.57%, -0.38%, 0.01%
03/14/2013, -0.53%, -0.35%, 0.03%
03/15/2013, -0.45%, -0.27%, 0.08%
03/18/2013, -0.32%, -0.13%, 0.14%
03/19/2013, -0.24%, -0.06%, 0.07%
03/20/2013, -0.38%, -0.19%, -0.14%
03/21/2013, -0.36%, -0.17%, 0.02%
03/22/2013, -0.33%, -0.14%, 0.03%
03/25/2013, -0.34%, -0.16%, -0.02%
03/26/2013, -0.3%, -0.12%, 0.04%
03/27/2013, -0.13%, 0.05%, 0.17%
03/28/2013, -0.28%, -0.1%, -0.15%
04/01/2013, -0.23%, 0.06%, 0.06%
04/02/2013, -0.3%, -0.01%, -0.07%
04/03/2013, -0.18%, 0.11%, 0.12%
04/04/2013, 0.1%, 0.39%, 0.28%
04/05/2013, 0.33%, 0.63%, 0.24%
04/08/2013, 0.2%, 0.49%, -0.14%
04/09/2013, 0.21%, 0.5%, 0.02%
04/10/2013, 0.03%, 0.31%, -0.19%
04/11/2013, 0.13%, 0.41%, 0.1%
04/12/2013, 0.37%, 0.66%, 0.24%
